units,date,heartRateData
bpm,2021-12-03 10:55:10 +0000,58
bpm,2021-12-03 10:55:15 +0000,59
bpm,2021-12-03 10:55:22 +0000,57
bpm,2021-12-03 10:55:25 +0000,57
bpm,2021-12-03 10:55:32 +0000,54
bpm,2021-12-03 10:55:35 +0000,54
bpm,2021-12-03 10:55:42 +0000,51
bpm,2021-12-03 10:55:44 +0000,50
bpm,2021-12-03 10:55:51 +0000,48
bpm,2021-12-03 10:55:54 +0000,48
bpm,2021-12-03 10:56:01 +0000,48
bpm,2021-12-03 10:56:05 +0000,49
bpm,2021-12-03 10:56:10 +0000,49
bpm,2021-12-03 10:56:17 +0000,51
bpm,2021-12-03 10:56:19 +0000,50
bpm,2021-12-03 10:56:23 +0000,50
bpm,2021-12-03 10:56:31 +0000,53
bpm,2021-12-03 10:56:37 +0000,54
bpm,2021-12-03 10:56:38 +0000,55
bpm,2021-12-03 10:56:43 +0000,57
bpm,2021-12-03 10:56:52 +0000,60
bpm,2021-12-03 10:56:57 +0000,58
bpm,2021-12-03 10:57:00 +0000,57
bpm,2021-12-03 10:57:03 +0000,56
bpm,2021-12-03 10:57:12 +0000,52
bpm,2021-12-03 10:57:14 +0000,52
bpm,2021-12-03 10:57:22 +0000,51
bpm,2021-12-03 10:57:27 +0000,50
bpm,2021-12-03 10:57:29 +0000,50
bpm,2021-12-03 10:57:36 +0000,50
bpm,2021-12-03 10:57:38 +0000,50
bpm,2021-12-03 10:57:45 +0000,52
bpm,2021-12-03 10:57:52 +0000,51
bpm,2021-12-03 10:57:54 +0000,51
bpm,2021-12-03 10:58:00 +0000,52
bpm,2021-12-03 10:58:07 +0000,52
bpm,2021-12-03 10:58:08 +0000,53
bpm,2021-12-03 10:58:13 +0000,53
bpm,2021-12-03 10:58:20 +0000,56
bpm,2021-12-03 10:58:26 +0000,54
bpm,2021-12-03 10:58:32 +0000,55
bpm,2021-12-03 10:58:35 +0000,55
bpm,2021-12-03 10:58:42 +0000,52
bpm,2021-12-03 10:58:44 +0000,53
bpm,2021-12-03 10:58:50 +0000,54
bpm,2021-12-03 10:58:54 +0000,54
bpm,2021-12-03 10:59:01 +0000,54
bpm,2021-12-03 10:59:04 +0000,55
bpm,2021-12-03 10:59:12 +0000,55
bpm,2021-12-03 10:59:16 +0000,55
bpm,2021-12-03 10:59:22 +0000,53
bpm,2021-12-03 10:59:26 +0000,53
bpm,2021-12-03 10:59:29 +0000,55
bpm,2021-12-03 10:59:33 +0000,55
bpm,2021-12-03 10:59:39 +0000,53
bpm,2021-12-03 10:59:43 +0000,54
bpm,2021-12-03 10:59:50 +0000,56
bpm,2021-12-03 10:59:53 +0000,55
bpm,2021-12-03 11:00:00 +0000,56
bpm,2021-12-03 11:00:03 +0000,56
bpm,2021-12-03 11:00:09 +0000,57
bpm,2021-12-03 11:00:17 +0000,56
bpm,2021-12-03 11:00:18 +0000,56
bpm,2021-12-03 11:00:24 +0000,53
bpm,2021-12-03 11:00:29 +0000,52
bpm,2021-12-03 11:00:36 +0000,53
bpm,2021-12-03 11:00:38 +0000,53
bpm,2021-12-03 11:00:43 +0000,53
bpm,2021-12-03 11:00:52 +0000,53
bpm,2021-12-03 11:00:53 +0000,53
bpm,2021-12-03 11:01:01 +0000,52
bpm,2021-12-03 11:01:06 +0000,53
bpm,2021-12-03 11:01:09 +0000,53
bpm,2021-12-03 11:01:14 +0000,54
bpm,2021-12-03 11:01:18 +0000,55
bpm,2021-12-03 11:01:24 +0000,57
bpm,2021-12-03 11:01:31 +0000,57
bpm,2021-12-03 11:01:33 +0000,56
bpm,2021-12-03 11:01:40 +0000,55
bpm,2021-12-03 11:01:47 +0000,54
bpm,2021-12-03 11:01:48 +0000,54
bpm,2021-12-03 11:01:53 +0000,58
bpm,2021-12-03 11:02:02 +0000,74
bpm,2021-12-03 11:02:04 +0000,74
bpm,2021-12-03 11:02:12 +0000,61
bpm,2021-12-03 11:02:17 +0000,57
bpm,2021-12-03 11:02:18 +0000,56
bpm,2021-12-03 11:02:27 +0000,54
bpm,2021-12-03 11:02:32 +0000,55
bpm,2021-12-03 11:02:35 +0000,56
bpm,2021-12-03 11:02:39 +0000,56
bpm,2021-12-03 11:02:47 +0000,54
bpm,2021-12-03 11:02:50 +0000,54
bpm,2021-12-03 11:02:53 +0000,55
bpm,2021-12-03 11:03:01 +0000,55
bpm,2021-12-03 11:03:05 +0000,53
bpm,2021-12-03 11:03:11 +0000,55
bpm,2021-12-03 11:03:13 +0000,54
bpm,2021-12-03 11:03:20 +0000,55
bpm,2021-12-03 11:03:26 +0000,56
bpm,2021-12-03 11:03:30 +0000,55
bpm,2021-12-03 11:03:34 +0000,56
bpm,2021-12-03 11:03:41 +0000,58
bpm,2021-12-03 11:03:47 +0000,58
bpm,2021-12-03 11:03:51 +0000,59
bpm,2021-12-03 11:03:56 +0000,59
bpm,2021-12-03 11:04:02 +0000,59
bpm,2021-12-03 11:04:03 +0000,59
bpm,2021-12-03 11:04:12 +0000,60
bpm,2021-12-03 11:04:13 +0000,60
bpm,2021-12-03 11:04:22 +0000,59
bpm,2021-12-03 11:04:24 +0000,58
bpm,2021-12-03 11:04:32 +0000,57
bpm,2021-12-03 11:04:35 +0000,57
bpm,2021-12-03 11:04:41 +0000,57
bpm,2021-12-03 11:04:43 +0000,57
bpm,2021-12-03 11:04:48 +0000,60
bpm,2021-12-03 11:04:57 +0000,60
bpm,2021-12-03 11:05:00 +0000,60
bpm,2021-12-03 11:05:03 +0000,60
bpm,2021-12-03 11:05:10 +0000,59
bpm,2021-12-03 11:05:15 +0000,60
bpm,2021-12-03 11:05:21 +0000,62
bpm,2021-12-03 11:05:25 +0000,60
bpm,2021-12-03 11:05:28 +0000,59
bpm,2021-12-03 11:05:35 +0000,57
bpm,2021-12-03 11:05:41 +0000,56
bpm,2021-12-03 11:05:45 +0000,56
bpm,2021-12-03 11:05:48 +0000,57
bpm,2021-12-03 11:05:57 +0000,56
bpm,2021-12-03 11:05:58 +0000,56
bpm,2021-12-03 11:06:07 +0000,58
bpm,2021-12-03 11:06:08 +0000,58
bpm,2021-12-03 11:06:16 +0000,59
bpm,2021-12-03 11:06:19 +0000,59
bpm,2021-12-03 11:06:26 +0000,59
bpm,2021-12-03 11:06:32 +0000,60
bpm,2021-12-03 11:06:33 +0000,60
bpm,2021-12-03 11:06:41 +0000,64
bpm,2021-12-03 11:06:47 +0000,61
bpm,2021-12-03 11:06:51 +0000,60
bpm,2021-12-03 11:06:53 +0000,60
bpm,2021-12-03 11:06:58 +0000,60
bpm,2021-12-03 11:07:04 +0000,73
bpm,2021-12-03 11:07:12 +0000,85
bpm,2021-12-03 11:07:13 +0000,83
bpm,2021-12-03 11:07:22 +0000,78
bpm,2021-12-03 11:07:24 +0000,80
