,value__bpm,value__confidence,year,month,day,hour,minute,second,dateTime
453,68.13199615478516,2.8147897720336914,2021,11,19,0,37,45,2021-11-19 00:37:45
458,66.281005859375,2.8705923557281494,2021,11,19,0,38,10,2021-11-19 00:38:10
459,65.80951690673828,2.949796438217163,2021,11,19,0,38,15,2021-11-19 00:38:15
462,65.93798828125,3.030471086502075,2021,11,19,0,38,30,2021-11-19 00:38:30
469,65.3629379272461,2.758291244506836,2021,11,19,0,39,5,2021-11-19 00:39:05
472,65.75082397460938,3.0104565620422363,2021,11,19,0,39,20,2021-11-19 00:39:20
475,66.03634643554688,3.0279815196990967,2021,11,19,0,39,35,2021-11-19 00:39:35
476,66.1728515625,2.9465525150299072,2021,11,19,0,39,40,2021-11-19 00:39:40
479,66.5448989868164,2.936706066131592,2021,11,19,0,39,55,2021-11-19 00:39:55
480,66.33888244628906,2.83739972114563,2021,11,19,0,40,0,2021-11-19 00:40:00
483,66.20687866210938,2.8557348251342773,2021,11,19,0,40,15,2021-11-19 00:40:15
485,66.40240478515625,2.9168968200683594,2021,11,19,0,40,25,2021-11-19 00:40:25
486,65.41715240478516,2.921557903289795,2021,11,19,0,40,30,2021-11-19 00:40:30
490,65.28379821777344,3.1573846340179443,2021,11,19,0,40,50,2021-11-19 00:40:50
491,64.82307434082031,3.007229804992676,2021,11,19,0,40,55,2021-11-19 00:40:55
494,65.54342651367188,2.971985101699829,2021,11,19,0,41,10,2021-11-19 00:41:10
495,65.48065185546875,2.9561383724212646,2021,11,19,0,41,15,2021-11-19 00:41:15
497,65.97916412353516,3.0433661937713623,2021,11,19,0,41,25,2021-11-19 00:41:25
498,64.99391174316406,2.983734130859375,2021,11,19,0,41,30,2021-11-19 00:41:30
502,65.33949279785156,2.830347776412964,2021,11,19,0,41,50,2021-11-19 00:41:50
503,64.90918731689453,2.6801929473876953,2021,11,19,0,41,55,2021-11-19 00:41:55
507,64.96326446533203,3.0169851779937744,2021,11,19,0,42,15,2021-11-19 00:42:15
511,64.72296142578125,3.0472865104675293,2021,11,19,0,42,35,2021-11-19 00:42:35
512,64.66590118408203,2.976463794708252,2021,11,19,0,42,40,2021-11-19 00:42:40
514,65.19905090332031,2.7266123294830322,2021,11,19,0,42,50,2021-11-19 00:42:50
515,65.47064971923828,2.6246302127838135,2021,11,19,0,42,55,2021-11-19 00:42:55
517,65.74369812011719,2.5694804191589355,2021,11,19,0,43,5,2021-11-19 00:43:05
528,64.2637939453125,2.9465458393096924,2021,11,19,0,44,0,2021-11-19 00:44:00
529,64.54027557373047,3.055919647216797,2021,11,19,0,44,5,2021-11-19 00:44:05
531,64.05229949951172,2.7288894653320312,2021,11,19,0,44,15,2021-11-19 00:44:15
532,64.58007049560547,2.712547779083252,2021,11,19,0,44,20,2021-11-19 00:44:20
534,63.94173049926758,2.9305179119110107,2021,11,19,0,44,30,2021-11-19 00:44:30
538,64.57353210449219,3.0511350631713867,2021,11,19,0,44,50,2021-11-19 00:44:50
540,63.56394577026367,2.920098304748535,2021,11,19,0,45,0,2021-11-19 00:45:00
542,63.80756378173828,2.901449680328369,2021,11,19,0,45,10,2021-11-19 00:45:10
543,63.28563690185547,2.842632293701172,2021,11,19,0,45,15,2021-11-19 00:45:15
547,64.50840759277344,3.113346815109253,2021,11,19,0,45,35,2021-11-19 00:45:35
549,64.43829345703125,2.8512985706329346,2021,11,19,0,45,45,2021-11-19 00:45:45
551,65.10794830322266,2.8255300521850586,2021,11,19,0,45,55,2021-11-19 00:45:55
553,65.91907501220703,2.856642246246338,2021,11,19,0,46,5,2021-11-19 00:46:05
554,65.91870880126953,2.8437554836273193,2021,11,19,0,46,10,2021-11-19 00:46:10
556,65.56971740722656,2.8073718547821045,2021,11,19,0,46,20,2021-11-19 00:46:20
558,65.85480499267578,3.085231304168701,2021,11,19,0,46,30,2021-11-19 00:46:30
559,66.07499694824219,3.020467758178711,2021,11,19,0,46,35,2021-11-19 00:46:35
561,67.3487319946289,2.9485061168670654,2021,11,19,0,46,45,2021-11-19 00:46:45
564,67.03030395507812,2.9869346618652344,2021,11,19,0,47,0,2021-11-19 00:47:00
565,67.27426147460938,2.9330198764801025,2021,11,19,0,47,5,2021-11-19 00:47:05
568,65.70044708251953,2.795224905014038,2021,11,19,0,47,20,2021-11-19 00:47:20
571,65.64155578613281,3.1534297466278076,2021,11,19,0,47,35,2021-11-19 00:47:35
575,65.732666015625,2.8647007942199707,2021,11,19,0,47,55,2021-11-19 00:47:55
576,66.05801391601562,3.1934328079223633,2021,11,19,0,48,0,2021-11-19 00:48:00
578,66.3290786743164,3.140366792678833,2021,11,19,0,48,10,2021-11-19 00:48:10
579,65.67137908935547,3.0644779205322266,2021,11,19,0,48,15,2021-11-19 00:48:15
582,65.46245574951172,2.907454252243042,2021,11,19,0,48,30,2021-11-19 00:48:30
584,65.867919921875,2.672318458557129,2021,11,19,0,48,40,2021-11-19 00:48:40
586,66.65453338623047,2.8549344539642334,2021,11,19,0,48,50,2021-11-19 00:48:50
589,66.95001220703125,2.9208686351776123,2021,11,19,0,49,5,2021-11-19 00:49:05
594,65.9095458984375,3.117371082305908,2021,11,19,0,49,30,2021-11-19 00:49:30
596,66.31501007080078,2.9086122512817383,2021,11,19,0,49,40,2021-11-19 00:49:40
597,66.75106811523438,3.0190954208374023,2021,11,19,0,49,45,2021-11-19 00:49:45
601,67.02565002441406,2.9666800498962402,2021,11,19,0,50,5,2021-11-19 00:50:05
602,67.2374267578125,2.596322536468506,2021,11,19,0,50,10,2021-11-19 00:50:10
605,66.70283508300781,2.9524266719818115,2021,11,19,0,50,25,2021-11-19 00:50:25
