,value__bpm,value__confidence
2021-12-03 00:45:40,,
2021-12-03 00:45:45,,
2021-12-03 00:45:50,,
2021-12-03 00:45:55,,
2021-12-03 00:46:00,,
2021-12-03 00:46:05,,
2021-12-03 00:46:10,,
2021-12-03 00:46:15,,
2021-12-03 00:46:20,,
2021-12-03 00:46:25,,
2021-12-03 00:46:30,,
2021-12-03 00:46:35,,
2021-12-03 00:46:40,,
2021-12-03 00:46:45,,
2021-12-03 00:46:50,,
2021-12-03 00:46:55,,
2021-12-03 00:47:00,,
2021-12-03 00:47:05,,
2021-12-03 00:47:10,,
2021-12-03 00:47:15,,
2021-12-03 00:47:20,,
2021-12-03 00:47:25,,
2021-12-03 00:47:30,,
2021-12-03 00:47:35,,
2021-12-03 00:47:40,,
2021-12-03 00:47:45,,
2021-12-03 00:47:50,,
2021-12-03 00:47:55,,
2021-12-03 00:48:00,,
2021-12-03 00:48:05,,
2021-12-03 00:48:10,,
2021-12-03 00:48:15,,
2021-12-03 00:48:20,,
2021-12-03 00:48:25,,
2021-12-03 00:48:30,,
2021-12-03 00:48:35,,
2021-12-03 00:48:40,,
2021-12-03 00:48:45,,
2021-12-03 00:48:50,,
2021-12-03 00:48:55,,
2021-12-03 00:49:00,,
2021-12-03 00:49:05,,
2021-12-03 00:49:10,,
2021-12-03 00:49:15,,
2021-12-03 00:49:20,,
2021-12-03 00:49:25,,
2021-12-03 00:49:30,,
2021-12-03 00:49:35,,
2021-12-03 00:49:40,,
2021-12-03 00:49:45,,
2021-12-03 00:49:50,,
2021-12-03 00:49:55,,
2021-12-03 00:50:00,,
2021-12-03 00:50:05,,
2021-12-03 00:50:10,,
2021-12-03 00:50:15,,
2021-12-03 00:50:20,,
2021-12-03 00:50:25,,
2021-12-03 00:50:30,,
2021-12-03 00:50:35,,
2021-12-03 00:50:40,,
2021-12-03 00:50:45,,
2021-12-03 00:50:50,,
2021-12-03 00:50:55,,
2021-12-03 00:51:00,,
2021-12-03 00:51:05,,
