iter	Passed	Remaining
760	6903	2168
761	6911	2158
762	6923	2150
763	6931	2140
764	6937	2131
765	6946	2122
766	6958	2113
767	6961	2102
768	6974	2095
769	6977	2084
770	6991	2076
771	7000	2067
772	7012	2059
773	7022	2050
774	7040	2043
775	7050	2035
776	7063	2027
777	7077	2019
778	7083	2009
779	7093	2000
780	7101	1991
781	7117	1984
782	7120	1973
783	7130	1964
784	7139	1955
785	7156	1948
786	7171	1941
787	7177	1930
788	7192	1923
789	7197	1913
790	7209	1904
791	7212	1894
792	7223	1885
793	7231	1876
794	7234	1865
795	7243	1856
796	7250	1846
797	7256	1836
798	7262	1826
799	7267	1816
800	7276	1807
801	7284	1798
802	7288	1788
803	7296	1778
804	7305	1769
805	7318	1761
806	7323	1751
807	7334	1742
808	7338	1732
809	7342	1722
810	7355	1714
811	7360	1704
812	7364	1694
813	7371	1684
814	7380	1675
815	7387	1665
816	7396	1656
817	7401	1646
818	7407	1637
819	7416	1628
820	7419	1617
821	7431	1609
822	7435	1599
823	7440	1589
824	7450	1580
825	7456	1570
826	7466	1561
827	7473	1552
828	7483	1543
829	7493	1534
830	7498	1524
831	7505	1515
832	7515	1506
833	7523	1497
834	7537	1489
835	7551	1481
836	7561	1472
837	7572	1463
838	7580	1454
839	7587	1445
840	7594	1435
841	7604	1426
842	7608	1416
843	7614	1407
844	7620	1397
845	7625	1388
846	7632	1378
847	7642	1369
848	7649	1360
849	7660	1351
850	7663	1341
851	7668	1332
852	7677	1323
853	7681	1313
854	7687	1303
855	7697	1294
856	7702	1285
857	7714	1276
858	7720	1267
859	7731	1258
860	7738	1249
861	7744	1239
862	7758	1231
863	7773	1223
864	7778	1213
865	7788	1205
866	7796	1196
867	7806	1187
868	7814	1177
869	7825	1169
870	7845	1162
871	7854	1152
872	7863	1144
873	7870	1134
874	7878	1125
875	7884	1116
876	7891	1106
877	7901	1097
878	7906	1088
879	7918	1079
880	7923	1070
881	7939	1062
882	7944	1052
883	7958	1044
884	7968	1035
885	7977	1026
886	7984	1017
887	8000	1009
888	8007	999
889	8020	991
890	8027	982
891	8036	973
892	8050	964
893	8054	955
894	8067	946
895	8071	936
896	8075	927
897	8088	918
898	8101	910
899	8106	900
900	8122	892
901	8140	884
902	8145	874
903	8154	865
904	8171	857
905	8175	848
906	8188	839
907	8192	830
908	8209	821
909	8215	812
910	8229	804
911	8241	795
912	8253	786
913	8265	777
914	8276	768
915	8290	760
916	8294	750
917	8308	742
918	8313	732
919	8328	724
920	8347	715
921	8362	707
922	8374	698
923	8388	689
924	8403	681
925	8408	671
926	8417	662
927	8426	653
928	8439	644
929	8456	636
930	8460	627
931	8470	618
932	8475	608
933	8479	599
934	8486	589
935	8493	580
936	8496	571
937	8507	562
938	8512	552
939	8519	543
940	8527	534
941	8535	525
942	8548	516
943	8551	507
944	8567	498
945	8571	489
946	8575	479
947	8584	470
948	8587	461
949	8591	452
950	8600	443
951	8606	433
952	8612	424
953	8620	415
954	8626	406
955	8633	397
956	8639	388
957	8643	378
958	8654	369
959	8658	360
960	8663	351
961	8672	342
962	8675	333
963	8680	324
964	8689	315
965	8694	306
966	8699	296
967	8709	287
968	8713	278
969	8722	269
970	8729	260
971	8743	251
972	8750	242
973	8758	233
974	8767	224
975	8772	215
976	8782	206
977	8786	197
978	8796	188
979	8806	179
980	8818	170
981	8823	161
982	8828	152
983	8839	143
984	8843	134
985	8853	125
986	8857	116
987	8861	107
988	8873	98
989	8881	89
990	8888	80
991	8898	71
992	8902	62
993	8907	53
994	8916	44
995	8920	35
996	8933	26
997	8937	17
998	8946	8
999	8953	0
